mb_code16,lon,lat
20015530000,145.0351916814,-37.7582264496
20015550000,145.0412511932,-37.7447966261
20015560000,145.0410643008,-37.7369565240
20015570000,145.0419499412,-37.7407951192
20015580000,145.0378747150,-37.7421683342
20015590000,145.0398827545,-37.7384496205
20015610000,145.0458715945,-37.7730998589
20015620000,145.0516047263,-37.7728300752
20015630000,145.0570087614,-37.7732775678
20015640000,145.0649582491,-37.7792501246
20015650000,145.0548951389,-37.7757286034
20016810000,145.0389148919,-37.7405217066
20016820000,145.0404070227,-37.7472773058
20016830000,145.0411644027,-37.7732904495
20016840000,145.0491433462,-37.7727300296
20016850000,145.0548356873,-37.7732609568
20016530000,145.0934071648,-37.7289565774
20016540000,145.0891998670,-37.7317071748
20016550000,145.0785914605,-37.7310602021
20016560000,145.0738360287,-37.7343286527
20016570000,145.0827091075,-37.7343317239
20016580000,145.0939721152,-37.7324408239
20016590000,145.0861884316,-37.7190643191
20016600000,145.0741581242,-37.7207243121
20016610000,145.0708382576,-37.7193705106
20016620000,145.0794235930,-37.7190889309
20016630000,145.0792545467,-37.7227422511
20016640000,145.0782680301,-37.7258457549
20016650000,145.0739968736,-37.7243594358
20016660000,145.0682710107,-37.7175660567
20016670000,145.1035806481,-37.7288813979
20016680000,145.0966319460,-37.7346806242
20016690000,145.0957279381,-37.7395914326
20016700000,145.0303596167,-37.7623750396
20016710000,145.0343882244,-37.7603118340
20016720000,145.0361263857,-37.7650581051
20016730000,145.0352161511,-37.7534632130
20015851000,145.0437980837,-37.7687497205
20016740000,145.0430433565,-37.7446238562
20016750000,145.0434651176,-37.7364603946
20016760000,145.0437855700,-37.7345949240
20016770000,145.0351958965,-37.7569555096
20016780000,145.0421723061,-37.7394429506
20016790000,145.0387899450,-37.7445507583
20015400000,145.0530456025,-37.7567048792
20015410000,145.0962351118,-37.7369604738
20015420000,145.0981221269,-37.7331089430
20015661000,145.0387912400,-37.7750503910
20015662000,145.0394729028,-37.7758943034
20015670000,145.0424218676,-37.7763243479
20015680000,145.0414367834,-37.7787703408
20015690000,145.0829805939,-37.7452878741
20015700000,145.0780569352,-37.7468979894
20015710000,145.0748217104,-37.7455705684
20015720000,145.0890726755,-37.7435567891
20015730000,145.0791872022,-37.7431470049
20015740000,145.0817191522,-37.7491072221
20015750000,145.0776154553,-37.7491113803
20015760000,145.0706259685,-37.7630111822
20015770000,145.0722336499,-37.7545483960
20015780000,145.0646887658,-37.7622116643
20015790000,145.0655197046,-37.7654954248
20015800000,145.0672128174,-37.7715271468
20015810000,145.0600884123,-37.7672637256
20015820000,145.0394554848,-37.7689629628
20015830000,145.0339703326,-37.7680740572
20015840000,145.0374880588,-37.7683828749
20015852000,145.0434670005,-37.7681878171
20015860000,145.0498823704,-37.7683347506
20015870000,145.0522819044,-37.7677291994
20015880000,145.0536558679,-37.7695574471
20015890000,145.0571381629,-37.7697349737
20015900000,145.0452898823,-37.7705785020
20015910000,145.0390449377,-37.7709377435
20017110000,145.0519314908,-37.7620378132
20017120000,145.0563787189,-37.7623665203
20017130000,145.0600065884,-37.7608836531
20017140000,145.0511289308,-37.7645865328
20017150000,145.0465061603,-37.7639318689
20017160000,145.0543521718,-37.7674134992
20017170000,145.0484487676,-37.7662345231
20017180000,145.0466401573,-37.7659643465
20017190000,145.0430917882,-37.7637264996
20046872000,145.0395027049,-37.9573682049
20017200000,145.0412027095,-37.7573860155
20017210000,145.0425766502,-37.7599329409
20017220000,145.0384781310,-37.7620145182
20017230000,145.0645092425,-37.7495143251
20017240000,145.0698562780,-37.7482221113
20017250000,145.0384104516,-37.7488601251
20017260000,145.0385657880,-37.7519963728
20017270000,145.0688015082,-37.7540897818
20017280000,145.0709831296,-37.7515586203
20017290000,145.0622964081,-37.7583671754
20017300000,145.0638152577,-37.7570398487
20017320000,145.0521324176,-37.7499171372
20017340000,145.0559277442,-37.7486253613
20017350000,145.0701983286,-37.7614394415
20017360000,145.0668490642,-37.7608058917
20017380000,145.0507533078,-37.7519250508
20017390000,145.0473860137,-37.7505626998
20017400000,145.0513275979,-37.7564254842
20017410000,145.0556872419,-37.7538012674
20017421000,145.0552603045,-37.7573495759
20017422000,145.0557371263,-37.7589357657
20017430000,145.0459579754,-37.7578510507
20017440000,145.0603346271,-37.7421481597
20017450000,145.0580052338,-37.7416919615
20017720000,145.0878254575,-37.7335461562
20017730000,145.0823337847,-37.7334331064
20017740000,145.0776415807,-37.7326422372
20017750000,145.0912294817,-37.7195637659
20017760000,145.0890515263,-37.7192166727
20017770000,145.1057430701,-37.7250534741
20017780000,145.0729837741,-37.7204777735
20017790000,145.0771365427,-37.7200413019
20017800000,145.0727332911,-37.7222608862
20017810000,145.0693027709,-37.7208933827
20017820000,145.0746192041,-37.7257826271
20017830000,145.0799792185,-37.7180571734
20017840000,145.0680830560,-37.7275921771
20017850000,145.0977282247,-37.7318756022
20017860000,145.0951978373,-37.7404089951
20017870000,145.0947692385,-37.7378617088
20017880000,145.0287364418,-37.7622390066
20016800000,145.0386040342,-37.7365391295
20017920000,145.0408975462,-37.7355531937
20017930000,145.0428183388,-37.7383718374
20017940000,145.0375206950,-37.7373975756
20017950000,145.0545322683,-37.7725834813
20017960000,145.0377162977,-37.7748977458
20017970000,145.0476484823,-37.7739236259
20017980000,145.0426454089,-37.7749641969
20017460000,145.0479868496,-37.7450106402
20017470000,145.0548818083,-37.7448234984
20017480000,145.0500233676,-37.7479217740
20017490000,145.0713300375,-37.7321931833
20017500000,145.0651958319,-37.7312512182
20017510000,145.0626182284,-37.7312982650
20017520000,145.0672613910,-37.7435830707
20017530000,145.0631746683,-37.7428606160
20017540000,145.0708164164,-37.7412969532
20017550000,145.0819779184,-37.7364010562
20017560000,145.0749965032,-37.7363044876
20017680000,145.0830126983,-37.7287430727
20017570000,145.0923177427,-37.7388638328
20017581000,145.0795978836,-37.7381837554
20017582000,145.0781273689,-37.7362320430
20017590000,145.0885567212,-37.7407239657
20017600000,145.0777713713,-37.7430572032
20017610000,145.0929186695,-37.7427216195
20017620000,145.0597950700,-37.7335468044
20017631000,145.0521270944,-37.7336011283
20017632000,145.0549796927,-37.7315573171
20018730000,145.0904577628,-37.7310362522
20017642000,145.0547836281,-37.7379594998
20017650000,145.0483466971,-37.7352239905
20017660000,145.0521428784,-37.7405211443
20017670000,145.0471753814,-37.7397708873
20017690000,145.0738834881,-37.7298397922
20017700000,145.0780108428,-37.7288954183
20017710000,145.0917829656,-37.7313702289
20016860000,145.0622467992,-37.7741347674
