mb_code16,lon_old,lat_old,lon_new,lat_new,old_outside_bounds,shift_metres
20015920000,145.049107,-37.770029,145.0491070886806,-37.77001035805732,False,2.069123662361894
20015930000,145.046183,-37.759475,145.04621268289256,-37.759485950960126,False,2.884232410723745
20015940000,145.060576,-37.771498,145.060568347542,-37.77148075695833,False,2.029127358430532
20015950000,145.054991,-37.762111,145.0549593705692,-37.76213463850235,False,3.827703358550568
20015960000,145.047068,-37.762109,145.04704839331808,-37.76210637724132,False,1.7520048867522477
20015970000,145.061401,-37.762145,145.06140714760613,-37.762144770832194,False,0.5422955533367217
20015980000,145.05099,-37.760264,145.05097993853065,-37.76025197464742,False,1.6023473409743518
20015990000,145.052896,-37.764698,145.0529334250903,-37.76471410229237,False,3.750790110926722
20016000000,145.049238,-37.764294,145.04925330819395,-37.76428154186246,False,1.9316833714550679
20016010000,145.055826,-37.766937,145.05586259763137,-37.76692378143709,False,3.542687455100676
20016020000,145.042307,-37.754554,145.04229820155652,-37.75454928487989,False,0.9354484876099144
20016030000,145.042872,-37.760846,145.04289233737873,-37.760811724678035,False,4.205245704464689
20016040000,145.04411,-37.751111,145.04412370196542,-37.75114108195202,False,3.5504999628765854
20016050000,145.043198,-37.76229,145.04317484763138,-37.76228238354231,False,2.2082920221615465
20016060000,145.041937,-37.764956,145.04194931703825,-37.76493726963618,False,2.345153553884168
20016070000,145.039141,-37.757372,145.03916545790597,-37.75735954561851,False,2.560465152483176
20016080000,145.066237,-37.748911,145.06623720505448,-37.7489183158276,False,0.8121974425715734
20016090000,145.069688,-37.74898,145.0697252037176,-37.748958981553585,False,4.024032672133647
20016100000,145.038845,-37.750309,145.03886547446953,-37.75029620274587,False,2.2963838364284697
20016110000,145.063375,-37.752964,145.0633563827417,-37.75294526691803,False,2.648574674143867
20016120000,145.06991,-37.751711,145.06989039254026,-37.75172663919027,False,2.44927078594103
20016130000,145.066211,-37.758837,145.0661757661367,-37.75886114273685,False,4.101243285746232
20016140000,145.063642,-37.757886,145.06365785448853,-37.757887702779136,False,1.4098297733373713
20016150000,145.065811,-37.756657,145.06580748316162,-37.756676362652925,False,2.1713275264230507
20016160000,145.062097,-37.749382,145.06210948230205,-37.74940577680577,False,2.8591313320713665
20016170000,145.053542,-37.752547,145.05354020012174,-37.752563552926574,False,1.8440734882525225
20016180000,145.058078,-37.7522,145.05809180615987,-37.75221553823981,False,2.1106060398499302
20016200000,145.048822,-37.751419,145.0488309325489,-37.75142881980604,False,1.344476872742567
20016210000,145.05016,-37.755648,145.05012995264096,-37.75567172427749,False,3.734293042776926
20016220000,145.057377,-37.757965,145.057369109401,-37.75795204634378,False,1.597060101768855
20016230000,145.052358,-37.743314,145.0523471780552,-37.74330543621407,False,1.3465667974475595
20016240000,145.059298,-37.742264,145.0592963680944,-37.74224245172851,False,2.3959984068461475
20016250000,145.061351,-37.741869,145.0613604233597,-37.741886953652546,False,2.158869443318694
20016260000,145.056571,-37.740999,145.05660028631686,-37.74097262644638,False,3.902807986898743
20016271000,145.047751,-37.745982,145.04778503957846,-37.74599868680468,False,3.525711073412093
20016272000,145.046398,-37.745892,145.0464134621011,-37.74588589636454,False,1.5218482292192004
20016280000,145.051634,-37.748107,145.05163201392133,-37.74811401539095,False,0.7980816113147949
20016290000,145.06649,-37.731454,145.066521968528,-37.731447954684825,False,2.8968608495196104
20016300000,145.063864,-37.731423,145.06384366715923,-37.731445090255065,False,3.0371164676854607
20016310000,145.06291,-37.728301,145.0629351742379,-37.72827812602934,False,3.3720369915928816
20016320000,145.069324,-37.743856,145.0693127982681,-37.74383800682759,False,2.227804454376759
20016332000,145.066617,-37.742288,145.06668621872828,-37.74229758937613,False,6.193010011380385
20016333000,145.06456,-37.742738,145.0646264933469,-37.74274191450806,False,5.8767004139129595
20016340000,145.091477,-37.7369,145.09148422304185,-37.736899727762626,False,0.6373940026897461
20016350000,145.083272,-37.736666,145.08325256561847,-37.73669895076848,False,4.0385731329992645
20016360000,145.076295,-37.736942,145.07628677010268,-37.736969915967016,False,3.1822231505518865
20016370000,145.088805,-37.736248,145.0888022824154,-37.73624901747014,False,0.264829879725681
20016380000,145.085805,-37.738455,145.08576947692694,-37.7384380171743,False,3.6547225971780675
20016390000,145.090953,-37.740477,145.09097528543612,-37.74048679730788,False,2.2451739618141064
20016400000,145.084099,-37.740427,145.08406516385284,-37.74043317584399,False,3.0601169643855353
20015600000,145.043036,-37.773137,145.04301485207822,-37.7731586089868,False,3.0370882208692946
20016410000,145.072163,-37.73961,145.07217838756011,-37.739594779955965,False,2.1663911907976496
20016420000,145.060771,-37.73449,145.06076268262106,-37.73448422680587,False,0.9737141548207907
20016430000,145.058963,-37.733499,145.05898143607166,-37.7334627405336,False,4.340226347714831
20016440000,145.047804,-37.731834,145.04778855142519,-37.73184581968445,False,1.8909180473899898
20016450000,145.050587,-37.738131,145.0505803161425,-37.73814622435474,False,1.7895319469820041
20016460000,145.057049,-37.737635,145.05703466604822,-37.7376338619359,False,1.2697569578496064
20016470000,145.052865,-37.73581,145.05286798704398,-37.73577414761755,False,3.988010363931448
20016480000,145.047638,-37.735899,145.04762231499652,-37.73590283879606,False,1.4467417522756703
20016490000,145.04504,-37.740352,145.04505820156396,-37.74034988113248,False,1.6214540554554147
20016500000,145.046367,-37.738102,145.04638506043895,-37.73808034506624,False,2.88289482940731
20017641000,145.05208,-37.737746,145.0520420847435,-37.737741933115146,False,3.3723605275173916
20016510000,145.082286,-37.730107,145.08227979952684,-37.730103963593706,False,0.6421390945373302
20016520000,145.075034,-37.730104,145.0750452700892,-37.730109010489656,False,1.1385543379622347
20015430000,145.100303,-37.730337,145.10033641763135,-37.73035007493832,False,3.283920608345378
20015440000,145.03253,-37.760147,145.03254263577554,-37.760127797107174,False,2.404675275735838
20015450000,145.107426,-37.721092,145.10743827613558,-37.72111262273728,False,2.531928319722783
20015460000,145.036262,-37.76053,145.03625405601014,-37.760529571032166,False,0.7016203148530946
20015470000,145.034553,-37.751691,145.03456973134664,-37.75171948520707,False,3.4885534591945593
20015480000,145.036043,-37.766414,145.0360276971121,-37.76641095393557,False,1.390083267470649
20015490000,145.037373,-37.754507,145.0373816662212,-37.75450573743587,False,0.7764563329242268
20015500000,145.042746,-37.747064,145.04274017410037,-37.7470694189707,False,0.7908171015832274
20015510000,145.043309,-37.737356,145.04335523516042,-37.73737069048233,False,4.389462268141329
20015520000,145.043606,-37.735704,145.0435992268811,-37.735673387179915,False,3.4498161236713774
20015530000,145.035153,-37.758203,145.03519168136765,-37.75822644955642,False,4.288669516176807
20015550000,145.041252,-37.744774,145.04125119315626,-37.744796626051226,False,2.512309449456926
20015560000,145.041,-37.736927,145.04106430083905,-37.736956524006445,False,6.54693026216287
